标题,时间,URL,正文内容,来源
马耳他将进一步加强新冠疫情防控,新华社,https://baijiahao.baidu.com/s?id=1693883101675316961&wfr=spider&for=pc,新华社瓦莱塔3月10日电（记者陈文仙）马耳他总理阿贝拉10日宣布，该国将采取包括关闭非生活必需商业场所、暂缓进行非紧急手术等一系列措施，进一步加强新冠疫情防控。阿贝拉在当晚举行的新闻发布会上说，3月11日至4月11日，马耳他将新增一系列防控措施，以减轻公共卫生服务的压力，遏制病毒传播。这些措施包括：关闭理发店、美容院和服装店等非生活必需商业场所；禁止有组织的体育活动；公共聚集人数上限为4人；暂缓进行非紧急手术；关闭游泳池、健身房、博物馆等场所；学校3月15日起改为线上授课等。马耳他卫生部长费恩在新闻发布会上表示，近期该国新增新冠确诊病例快速攀升，其中60%以上的新增病例感染首次在英国发现的变异新冠病毒。3月4日，阿贝拉曾宣布实施限制聚集人数、加大处罚力度等疫情防控措施。根据马耳他卫生部10日公布的数据，当天新增新冠确诊病例510例，为该国去年3月疫情暴发以来最高纪录；累计确诊病例25357例；累计死亡病例337例；累计治愈病例21838例。（完）举报/反馈,
罗马尼亚第十次延长新冠疫情戒备状态,新华社,https://baijiahao.baidu.com/s?id=1693917383993165284&wfr=spider&for=pc,罗马尼亚第十次延长新冠疫情戒备状态百度首页登录罗马尼亚第十次延长新冠疫情戒备状态新华社发布时间: 03-1114:51新华社官方帐号新华社布加勒斯特3月10日电（记者林惠芬）罗马尼亚政府10日宣布，因近期新冠疫情反弹，将14日到期的新冠疫情戒备状态再次延长一个月。这已是罗自去年5月以来第十次延长戒备状态。罗政府当天还宣布收紧防疫限制措施，包括将全国宵禁起始时间提前一小时，从原来的23时至次日5时改为22时至次日5时。罗新增确诊病例近来明显增多。截至10日，罗累计确诊病例超过84万例，累计死亡病例超过2.1万例。当地专家认为，变异病毒传入以及居民放松警惕是近期疫情反弹的主要原因。目前，罗马尼亚包括首都布加勒斯特在内的多地被划入新冠疫情“红区”，餐厅、咖啡馆、酒吧等暂停营业，露天演出、音乐会、集市活动等也被禁止。（完）举报/反馈,
北京中医医院院长刘清泉:新冠疫情开始“走下坡路”,环球网,https://baijiahao.baidu.com/s?id=1693804525334154914&wfr=spider&for=pc,目前，全国已连续30天无新增本土新冠确诊病例，今年的疫情形势如何？国家卫健委专家组成员、首都医科大学附属北京中医医院院长刘清泉9日在接受本报记者采访时表示，在国家精准防控策略和新冠疫苗广泛接种的情况下，今年我国疫情发展正走向一个重要的转折点。2020年2月20日，中央指导组专家组成员、北京中医医院院长刘清泉来到武汉协和医院西院区，与在这里救治新冠肺炎病人的北京医疗队医护人员交流。“从医生的角度来判断，我国疫情不会有太大变化。考虑到国外输入风险，可能会有局部零星的散发病例，但随着疫苗接种率越来越高，新冠疫情开始‘走下坡路’。”刘清泉说，实际上这也符合传染病的流行特征。“由于科技手段广泛的使用，比如流调水平提高、疫苗接种速度加快，中国进入第三年传播的可能性非常小。”不过，刘清泉也提醒，现在还不是放松警惕的时候。最主要的问题是至今学界仍不清楚冠状病毒“是怎么来到人间的”。从非典到中东呼吸综合征再到现在的新冠病毒，病毒的传染性越来越强，目前仍未找到明确的宿主，“所以仍需保持高度警惕，做好个人卫生。”从武汉到北京，再赴新疆、天津和东北……一年多来刘清泉一直奋战在抗疫一线。刘清泉表示，此次疫情防控有两个重要经验：一是对局部疫情进行极早期控制，二是中西医双重“呵护”，大大降低了死亡人数。刘清泉认为，本轮新冠疫情形成了非常清晰的治疗路径，轻型和普通型的患者收住院后以中医药治疗为主，控制病情；重型和危重型的患者，中西医协同救治。“目前没有针对新冠病毒的特效药，中医药的最大作用就是对患者进行早期的干预，让重病人数减少，从而将死亡率控制在了一个非常低的水平。”传染病是中医研究最多的领域，从《黄帝内经》到《伤寒杂病论》，历代的名中医实际上都是传染病大家，中医几千年积累了丰富的治疗传染病的经验。刘清泉说，他最大的愿望就是通过新冠肺炎这样的示范性成果，通过几代医学人的努力，创造出中国自己的新医学，“这种医学既非传统的中医，也非经典的西医，有现代医学的优势，也具有中国医学的特点，能够真正引领世界医学的发展。”举报/反馈,
山东大学第二医院两位医生获抗击新冠肺炎疫情山东省三八红旗手,齐鲁壹点,https://baijiahao.baidu.com/s?id=1693731197027838281&wfr=spider&for=pc,巾帼好榜样，绽放她精彩。国际妇女节来临之际，山东省妇联、省卫健委发布了 200 名抗击新冠肺炎疫情山东省三八红旗手和100 个集体抗击新冠肺炎疫情山东省三八红旗集体，以弘扬伟大抗疫精神，进一步凝聚起团结拼搏、砥砺奋进的强大巾帼力量。山东大学第二医院急诊医学中心赵洁、医学影像中心卜令贤获“抗击新冠肺炎疫情山东省三八红旗手”，检验医学中心获“抗击新冠肺炎疫情山东省三八红旗集体”。赵洁从事临床急诊急救工作近十年，始终坚持“进取、博爱、人道、奉献”的精神，兢兢业业、刻苦钻研，得到了患者的赞誉和同事的一致好评。在新冠肺炎疫情阻击战打响后，她积极学习新冠肺炎的诊疗方案及最新文献，做到科学防控、主动防控，坚守岗位、精进审慎，为每位患者提供最优的诊疗、健康宣教和心理疏导。在临床工作之余，她一直协助科室主任、护士长做好疫情防控期间科室的防控知识培训、防控措施落实、人员物资统筹安排、一线工作人员心里疏导、援鄂人员后勤服务等工作，参与起草《山东大学第二医院急诊医学中心公共卫生和重大疫情防控救治体系建设》，为做出更快、更好、更完善的应对。卜令贤工作认真负责、专业能力强，为人诚恳细心、乐于助人，有良好的团队精神，并不断学习先进知识和理论，提高思想认识。在抗击新冠肺炎疫情的重要时期，她接诊了200余例发热患者，为临床一线医生提供了准确的诊断依据，把“生命重于泰山，疫情就是命令，防控就是责任”的使命担当毅然挑在肩上，不顾个人安危，一刻不停地投入工作。她和同事们严格操作流程，给每一位发热患者做完CT，都要对检查室、操作间进行彻底消毒。2020年2月，一名武汉接触史发热女性来做完检查后，卜令贤判断CT影像疑似新冠，她冷静面对，处理得当，严格消杀，配合隔离，最大程度降低了病毒传染风险。检验医学中心是一支女性职工近80%的优秀检验队伍，新冠疫情发生以来，科室及时快速应对疫情防控需要，在原有七个专业科室的基础上，抽调硕博士骨干人员成立新冠核酸检测专业组，并在全科进行全员培训，组建了80余人的新冠核酸检测后备队伍，应对大规模新冠核酸检测的需求，中心检测能力达10000管/天，累积进行新冠病毒核酸和抗体检测30余万人次，为山东地区的疫情防控和大规模新冠核酸检测提供了坚强保障；科室三次派遣新冠检测技术骨干驰援北京、新疆和青岛等新冠疫情地区，为当地免费提供仪器和试剂，为全国疫情防控提供了有力支撑。在2019年度复旦大学医院排行榜“检验医学综合排行榜”和“专科声誉榜”中，检验医学中心均位列全国第十位，成为山东省唯一进入前十榜单的检验科室。举报/反馈,
全球抗疫24小时丨美国部分州放松疫情防控引发担忧 韩国数千人接种...,广州日报,https://baijiahao.baidu.com/s?id=1693619233371174500&wfr=spider&for=pc,全球抗疫24小时丨美国部分州放松疫情防控引发担忧 韩国数千人接种新冠疫苗出现不良反应广州日报发布时间: 03-0809:00《广州日报》官方帐号根据世卫组织最新实时统计数据，截至欧洲中部时间3月7日14时03分（北京时间3月7日21时03分），全球累计新冠肺炎确诊病例116135492例，累计死亡病例2581976例。3月7日全球新冠肺炎确诊病例新增478614例，死亡病例新增10124例。00:16△全球疫情数据速览（北京时间3月7日7时至3月8日7时）1美国部分州宣布放松疫情防控引发担忧近日，美国康涅狄格州、亚利桑那州、西弗吉尼亚州等州宣布，将取消对餐馆、健身房、酒吧以及其他非必要营业场所的客容量限制。亚拉巴马州宣布，该州将在4月初取消“口罩令”。得克萨斯州和密西西比州本月2日也相继宣布取消“口罩令”。据美国消费者新闻与商业频道报道，美国多名卫生官员警告称，过早放松疫情防控措施可能会引发新一波病例激增。但仍然有越来越多的州正在取消“口罩令”和对非必要营业场所的防疫措施限制。2新西兰航空一机组人员确诊新冠肺炎 同机组其他14人已被隔离当地时间3月7日晚，新西兰卫生部门宣布，新西兰航空一名机组人员新冠病毒检测结果呈阳性，目前患者已被转送至隔离场所接受治疗。据悉，这名机组人员于2月28日从日本东京乘飞机抵达新西兰奥克兰，当天的病毒检测结果为阴性，但在3月6日的例行检测中结果为阳性。目前，与该患者同乘一趟航班的其他14名机组人员已被隔离并接受新冠病毒检测，卫生部门正在追踪该确诊患者的其他密切接触者。3韩国数千人接种新冠疫苗出现不良反应韩国新冠疫苗应对接种推进团7日通报称，6日，韩国新增806例疑似因接种新冠疫苗出现异常反应的案例，异常反应案例已累计升至3689例，其中绝大多数民众出现头痛、发烧等轻微症状。韩国自2月26日起开始新冠疫苗接种工作，其中，接种阿斯利康疫苗出现疑似异常反应的有3671例；接种辉瑞疫苗出现异常反应的有18例。4奥地利一名女性接种阿斯利康疫苗后死亡 奥暂停同批次疫苗接种当地时间3月7日，奥地利联邦卫生安全部门在其官网指出，收到下奥地利州茨韦特尔地区同一批阿斯利康新冠疫苗中两份与疫苗接种相关的临时报告。报告称，接种该批次疫苗后一名49岁女性因严重凝血功能障碍而死亡；另一名35岁女性出现肺栓塞，目前在康复中。该机构表示，目前尚无证据显示疫苗接种与两起事件有因果关系。同时为安全起见，将暂停为民众接种受影响批次疫苗。12022年世界杯南美区预选赛推迟进行截至当地时间3月6日20时，根据巴西卫生部发布的数据，巴西新增新冠肺炎确诊病例69609例，累计确诊10938836例。当地时间6日，南美洲足联与国际足联正式宣布，受疫情影响原定于3月进行的2022年世界杯南美区预选赛两轮比赛，将推迟至今年9月或10月。2意大利超九成学生或将转入远程学习根据意大利卫生部3月7日公布的最新数据，意大利24小时新增20765例新冠肺炎确诊病例，累计确诊3067486例。意大利3月6日开始实施的新防疫法令规定，每10万名居民单周新增确诊新冠肺炎超过250人的区域应停止学校面授课程。意大利教育领域媒体根据近期疫情数据分析认为，意大利有超过90%学生在近期面临着被迫转入远程学习的风险。3希腊将启动“无新冠岛计划”助推旅游重振当地时间3月7日，据希腊媒体报道，希腊政府计划通过大规模接种疫苗的方式，在爱琴海岛屿和爱奥尼亚海岛屿创建无新冠疫情的安全地区，其目的是安全开启旅游季，“无新冠岛计划”将在5月2日传统节日到来之前落实完毕。截至目前，希腊政府已经派出320个“疫苗接种小组”为相关小岛居民接种新冠病毒疫苗。根据希腊政府计划，将对这些小岛全民提供疫苗接种，这意味着疫苗接种不受年龄群体的限制。4毛里求斯7日起禁止国际航班入境3月6日，毛里求斯各隔离中心新增9例境外输入病例。为应对潜在风险，毛里求斯政府于6日晚推出最新防疫措施：包括3月7日0时至3月16日0时，禁止国际航班入境毛里求斯；取消毛里求斯去罗德里格斯岛的航班；取消近期的宗教文化庆祝活动等。以上措施实行一周后，根据实际情况再做调整。来源：央视新闻客户端广州日报全媒体编辑 薛琰举报/反馈,
法国扩大周末“禁足”范围以防控新冠疫情,新华社,https://baijiahao.baidu.com/s?id=1693345423723606373&wfr=spider&for=pc,新华社巴黎3月4日电（记者徐永春）法国总理卡斯泰4日表示，政府将强化新冠疫情防控举措，包括自6日起在加来海峡省实施周末封闭隔离措施。为遏制疫情快速蔓延，法国自2月底开始在部分地区采取周末“禁足”措施，滨海阿尔卑斯省沿海地带的63个市镇和北部省敦刻尔克市及其郊区自2月26日起实施周末封闭隔离措施。卡斯泰在新闻发布会上说，新冠病毒近两周来在法国加速传播，最早在英国发现的变异新冠病毒感染病例占比超过60%。法国疫情传播高风险地区省份由20个增至23个。卡斯泰宣布，在疫情传播高风险地区，所有面积超过一万平方米的大型商场将关闭。他同时呼吁这些地区的民众尽量避免跨地区出行，不要举行6人以上的私人聚会。卡斯泰说，截至目前，法国已有约320万人接种新冠疫苗，其中约180万人完成第二剂疫苗接种。他预计，法国新冠疫苗接种速度将加快，到今年夏季接种疫苗人数将超过3000万人。法国政府网站4日公布的数据显示，截至当日14时，该国过去24小时新增新冠确诊病例超过2.5万例，累计确诊3835595例，累计死亡87835例。目前有24891名患者在医院接受治疗，其中3633人处于重症监护中。（完）举报/反馈,
"新冠疫情何时终结?世卫作出最新回答,同一时刻,中方好消息传出",昆仑军志,https://baijiahao.baidu.com/s?id=1693634667771249021&wfr=spider&for=pc,自从2020年1月份新冠开始大规模在这个世界张牙舞爪，至今已经过去不止一年时间，全球诸多国家皆是为抗疫而焦头烂额，世界经济更是因此衰退。如今，新冠疫情仍然在全球大范围蔓延，各国民众饱受其苦，而随着疫苗时代的到来，多太多的人向知道新冠疫情何时终结，对此，世卫在近日作出最新回答。疫情何时终结，世卫给出了答案截止到3月8日为止，全球累计确诊超过1.17亿，单日新增患者超过39万。疫情的拐点是否已经来临，疫情何时结束，成为了国际上共同关心的话题。近日，世卫作出最新回答。根据新京报所报道，世卫组织主任汉斯克鲁格表示将在2022年年初迎来结束。同时，汉斯克鲁格也强调，这只是一个科学的预测，到底中途会发生什么变故，是任何人都无法保障。正所谓，计划赶不上变化，一切结果都必须在最后才能够验证！不过汉斯克鲁格也表示，最坏的情况已经过去，相较于在2020年疫情刚开始大规模蔓延时，世界对新冠有了更加全面的了解和应对之策。疫苗接种两极分化，中国传来好消息需要指出的是，虽然国际上已经有多款疫苗紧急面市使用，但目前全球疫苗接种出现两极分化，富裕国家所囤积的疫苗远远高于国内所需要，而低收入国家则面临着无疫苗可用。世卫总干事谭德赛在2月份时指出，目前全球疫苗接种率正在不断上升，但全球疫情现状仍是不太乐观，这主要原因在于全球正在进行的接种工作，高于3/4是在全球经济发展状况最好的前10个国家。而对于经济落后且科研水平差的国家，接种疫苗是一件极其困难的事。而一直以来致力于对发展中国家及落后国家提供疫苗援助的中国，在此之际，中国传来好消息，事关疫苗。根据中国青年网所报道，武汉公司新型冠状病毒灭活疫苗（Vero细胞）和康希诺生物股份公司重组新型冠状病毒疫苗（5型腺病毒载体）这两款疫苗被中国国家药监局批准注册申请。需要强调的是中方对于疫苗的态度一如既往地精神科学，国家药监局要求该疫苗上市许可持有人继续开展相关研究工作，完成附条件的要求，及时提交后续研究结果。免责声明：本文由《昆仑军志》原创创作，图片来源网络，若有来源标注错误或侵犯了您的合法权益，请作者持权属证明请联系告知。部分消息参考：中国青年网、新京报举报/反馈,
"一年后,新冠疫情会如何发展?钟南山、福奇最新研判",科技日报,https://baijiahao.baidu.com/s?id=1693182296677601559&wfr=spider&for=pc,我个人对于未来保持乐观态度，因为我们的方向是对的，情况正朝着好的方向发展，目前大部分国家的病例也正在减少中。”北京时间3月2日21点，广州，中国工程院院士钟南山出席由爱丁堡大学组织举办的国际疫情防控专家研讨会，与美国著名传染病学专家福奇博士进行连线对话，共同探讨全球抗疫合作等话题。钟南山院士与美国著名传染病学专家福奇博士等专家进行连线对话。重启经济不能操之过急在福奇看来，面对疫情，经济停摆和恢复必须要同公共卫生防疫的要求匹配起来，“重启经济不能操之过急，否则很可能会面临疫情的反扑，但如果动作太慢，也可能会是一个痛苦而缓慢的过程。”对此观点，钟南山表示认同。他表示，中国和其他国家相比，在每百万的确诊病例数据比较中，以及每百万的死亡人数，中国的人数都是最低的。“我们从18年前的非典中吸取了教训和经验，此次应对新冠肺炎疫情时，能够早期做出一些反应，比如封城以及在社区阻断疫情的传播。” 钟南山表示，“所以我们不能够操之过急，花了很长时间考虑什么时候复工复产。去年上半年，中国的GDP也有所下降，但在下半年恢复了。中国采取的严格疫情防控政策是除非疫情能够得到基本的控制，不然就不会重启经济活动。”关于疫苗与群体免疫针对众说纷纭的“群体免疫”，钟南山表示，不能够用一些不科学、不人道的“自然免疫”手段达到群体免疫效果。随着疫苗的研发和陆续上市，“我觉得至少要有2-3年的时间才能世界范围内的群体免疫”。钟南山认为，变异的病毒对疫情防控形成了巨大的挑战。“我们需要全球合作，才能把研究工作推进一步，设计更好的疫苗防止病毒变异。”他透露，现在已有疫苗在研发中，中国已有3款疫苗被批准有条件上市，1款可在紧急情况下使用。“一旦疫苗到位了，我们就能够更快地恢复正常社会生活。但也不能够断言说注射疫苗后一切就会正常了，就不会再感染了，这是不对的。”钟南山说，注射疫苗后也不能够掉以轻心，依旧需坚持做好防护。面对病毒，没有国家能独善其身连线对话中，两位科学家所谈及最多的话题是关于全球合作。“多个国家的经验已证明，疫苗对抗疫情是有效的，但这必须基于全球合作。”福奇指出，全球合作之所以重要，在于面临病毒变异，“如果不开展跨国合作，病毒会在跨国传播中快速变异，反过来冲击已经成功防疫的国家。面对快速变异的病毒，没有一个国家能独善其身”。“我们正在对抗共同的敌人，面对的威胁是没有国界的。”钟南山指出，全世界想终止疫情，需要由每个国家的决策层基于科学、实际的证据进行恰当的决策，需要全球的团结和努力。对于全球合作，福奇表示乐观，“之前全球合作也有成功例子，比如麻疹和脊髓灰质炎病毒。无论是大范围还是小范围，都有各方面的例子，具体到新冠，我觉得没什么理由产不出成功的例子。”钟南山认为，要实现全球合作目标，需要由世界卫生组织牵头协调。“真正的科学家和学者与我们的看法是一致的。以前认为传染病很快就过去了，这是不对的。这次疫情对全球造成的损失超过任何一个慢性病，所以对每一个传染病都要重视。”他说，“要做出一个决策，必须基于科学、基于实际的证据，而不是基于政治，希望通过越来越多的交流，让隔阂越来越少”。情况正朝着好的方向发展“一年之内，我们不可能让全世界的人都打上疫苗，但我们已能够较好控制疫情了。”福奇说，“因为我们采取了一些措施，让社会生活逐渐恢复到正常，经济得以复苏，跨境游也将恢复。”钟南山院士“一年以后会发生很大的变化，但我不认为一年后能够根除疫情或者此类疾病。因为我们还面临很多不可知的因素，如病毒的变异、新的感染病例。”钟南山仍然特别强调，“全世界的专家需要通力合作，开发出新的药物、新的抗体、新的更有效疫苗，这些都是恢复正常社会生活的必要前提”。编辑：张爽审核：王小龙举报/反馈,
马尔代夫新冠疫情反弹 超五分之一人口接种疫苗,中国青年网,https://baijiahao.baidu.com/s?id=1693220584286484363&wfr=spider&for=pc,马累消息：马尔代夫卫生防护局当地时间2日晚公布信息说，该国当天新增新冠确诊病例165例，累计确诊20144例，累计死亡62例。据当地媒体报道，马尔代夫的新冠疫情今年初开始急剧反弹，从1月下旬以来平均每天新增确诊病例超过100例，其中大部分来自首都马累所在的大马累地区。据马尔代夫卫生防护局统计，截至2日，马尔代夫已有超过12.3万人接种新冠疫苗，占全国人口的22%左右，其中大马累地区接种疫苗人数将近8万。马尔代夫政府自2月1日开始推进新冠疫苗接种计划。在确保一线卫生工作者及其他高危群体接种的同时，疫苗接种以大马累地区为重点，从60岁以上人群开始，目前已对大马累以及其他高风险地区18岁以上公民放开接种。（来源：新华网）举报/反馈,
中东多国新冠疫情依然严峻,昨天,http://epaper.lnd.com.cn/lnrbepaper/pc/con/202104/19/content_109605.html,新华社安曼4月17日电  中东地区多国17日新冠疫情依然严峻，同时仍在推进新冠疫苗接种工作，其中利比亚当天启动疫苗接种。利比亚国家疾病控制中心主任达德尔·安纳贾尔17日宣布，该国当天启动新冠疫苗接种工作。他表示，接种疫苗的重点人群为医务人员、老人以及慢性病患者等。截至目前，已有近50万人在网上申请接种。利比亚国家疾病控制中心最新数据显示，利比亚累计新冠确诊病例171131例，累计治愈156344例，累计死亡2882例。伊朗卫生部17日报告伊境内新增确诊病例21312例，累计确诊2215445例；新增死亡319例，累计死亡66327例；新增治愈11191例，累计治愈1772688例。伊朗卫生部官员表示，当前伊许多城市疫情已经超出红色风险等级标准，达到前所未有的峰值。卫生部门预计疫情将更加严峻，各地医疗机构压力将进一步上升。土耳其卫生部17日公布的数据显示，该国新增确诊病例62606例，累计确诊4212645例；新增死亡288例，累计死亡35608例。此外，土耳其累计接种新冠疫苗超1995万剂。巴勒斯坦卫生部长马伊·凯拉17日表示，近期变异新冠病毒仍在加沙地带肆虐，新增病例数居高不下。巴卫生部当天报告全国新增确诊病例1618例，累计确诊308579例；新增死亡28例，累计死亡3251例；新增治愈1773例，累计治愈273679例。迄今，巴勒斯坦累计有159700人接种了第一剂新冠疫苗，有23113人接种了第二剂疫苗。黎巴嫩卫生部17日公布，全国新增新冠确诊病例1695例，累计确诊508503例，累计死亡6886例，累计治愈423848例。此外，黎巴嫩累计有237204人接种了第一剂新冠疫苗，有126654人接种了第二剂疫苗。摩洛哥卫生部17日更新数据显示，该国当天新增确诊病例600例，累计确诊505447例，累计死亡8944例，累计治愈491537例。,北国网
