话题链接,话题内容,楼主ID,楼主昵称,楼主性别,发布日期,发布时间,转发量,评论量,点赞量,评论者ID,评论者昵称,评论者性别,评论日期,评论时间,评论内容
https://m.weibo.cn/detail/4628796835891154,钟南山每次只有45分钟锻炼身体，每周4次，他的妻子是教练。小华弟的微博视频 ,6405349088,扶不起,m,2021/04/22,14:57:07,0,0,0, , , , , , 
https://m.weibo.cn/detail/4628794742669946,【#印度日增新冠确诊近30万例# 中国使馆：在印中国公民“非必要不出行”】据印度卫生部通报，截至当地时间4月21日8时，印度24小时内新增新冠肺炎确诊病例295041例，当天还有约2000人病亡，两项数字都是该国疫情暴发以来的最高值。印度新冠疫情在近几周严重失控，医疗体系处于崩溃边缘，全国的医院都面临物资短缺问题。最近7天，印度单日新增确诊病例均保持在20万以上。21日，更是逼近30万例。专家表示，这种快速增长表明，第二波疫情在印度全国传播得更快。 中新视频的微博视频,1958889463,沈阳铁路,m,2021/04/22,14:48:48,7,5,4, , , , , , 
https://m.weibo.cn/detail/4628794092556479,FDA 停工整改了一家生产强生新冠疫苗原料的工厂，理由是质控不过关。（图 1）不过根据强生的公告，强生还没有正式和这家工厂签约授权，在前期质控流程中已经识别出一批不符合标准的原料药，没有进入制造填充的精加工阶段。（图 2） ,1735747402,丁香园,m,2021/04/22,14:46:13,1,0,11, , , , , , 
https://m.weibo.cn/detail/4628791194813625,北京市新冠病毒疫苗接种情况截至2021年4月21日，北京市累计报告接种新冠病毒疫苗2166.94万剂次，累计接种1327.84万人。（来源：健康北京） ,2417852083,首都健康,m,2021/04/22,14:34:42,1,2,7, , , , , , 
https://m.weibo.cn/detail/4628759644735925,#印度单日新增确诊超30万#【彻底失控！ #印度单日新增确诊病例超30万#】路透社消息，印度单日新增新冠确诊病例超30万，24小时内报告314835例，创全球单日新增最高记录。据《今日印度》报道，印度卫生部门报告，在过去的24小时内，印度新增314835例新冠肺炎病例，累计确诊15930965例，新增死亡病例2104例，累计184657例。此前，印度已连续7天单日新增病例超20万。目前，印度累计确诊数居全球第二，仅次于美国。医疗卫生系统已不堪重负，各地火葬场处理遗体的数量已升至平时的4倍。在如此严峻的形势下，印度21日又发生氧气泄露事件，导致一所医院内24名新冠病人死亡。,1893801487,微天下,m,2021/04/22,12:29:20,244,277,3235, , , , , , 
 , , , , , , , , , ,6522845912,栩多年以后,f,2021/04/22,12:38:49,活在国内 我有时都忘了世界还处在疫情之中
 , , , , , , , , , ,5281511963,大命儿,f,2021/04/22,15:20:10,Ru铽痛
 , , , , , , , , , ,1920941884,默默大夜猫,f,2021/04/22,12:30:26,估计就是集体去恒河沐浴，又互抛牛粪，让疫情加剧了。。。。没辙
 , , , , , , , , , ,2871416171,叫我刘C-c,f,2021/04/22,15:11:31,佬班。兲我🍜了
 , , , , , , , , , ,5343319488,旅行美食咖,m,2021/04/22,12:41:20,不愧为美狗，啥都学，这速度杠杠的
 , , , , , , , , , ,5883223511,Aang陈天铨,m,2021/04/22,12:33:11,卧槽，不甘心当老二？
 , , , , , , , , , ,1404013304,杨叛在2021,m,2021/04/22,12:33:44,干了这杯恒河水，来生还做牛尿臣
 , , , , , , , , , ,2915144921,-五道杠少年-,m,2021/04/22,12:57:33,还好有喜马拉雅山脉。
 , , , , , , , , , ,2984761527,我的成熟都是假正经耶耶耶,f,2021/04/22,12:41:25,老大哥没给你们发疫苗吗
 , , , , , , , , , ,2704212457,闪了水桶腰,m,2021/04/22,13:18:08,人间炼狱！阿三可能会变异出僵尸！边防官兵可要小心啊！
 , , , , , , , , , ,2704212457,闪了水桶腰,m,2021/04/22,13:19:34,千万别让阿三过来啊！
 , , , , , , , , , ,2853276824,蛋的痛楚,m,2021/04/22,12:57:02,别检测了，继续做强国
 , , , , , , , , , ,1651859932,爱晒太阳的猫,m,2021/04/22,12:33:13,检测能力很强
 , , , , , , , , , ,5679508036,iBingo,m,2021/04/22,15:13:00,疫情来了，恒河水跟牛尿更配哦。
 , , , , , , , , , ,1362827752,Hi-bob,m,2021/04/22,13:29:45,印度的检测能力大增，大有赶超美国的势头
 , , , , , , , , , ,2800194574,尼古拉斯赵铁蛋子,m,2021/04/22,12:49:26,我记得“破纪录12万”没几天前吧
 , , , , , , , , , ,5891271458,咬人的馒头,m,2021/04/22,12:40:00,有这检测能力也算是牛了
 , , , , , , , , , ,5548146325,-海神之子-,m,2021/04/22,12:47:56,这种脏乱差的国家疫情失控是必然的
 , , , , , , , , , ,6291267419,SnakeTC-久伴,m,2021/04/22,15:12:52,神奇的国家，从会给人意想不到的惊喜
 , , , , , , , , , ,1916677840,西瓜哟哈,m,2021/04/22,15:09:17,阿三估计一天的检测能力就30来万。
https://m.weibo.cn/detail/4628790733702918,"新冠疫苗接种预约—如何通过“吉事办”进行个人预建档当前我国新冠肺炎疫情形势总体平稳，但全球疫情仍处于大流行阶段，外防输入、内防反弹压力仍很大。接种新冠疫苗是预防控制新冠肺炎疫情的有效手段，对于个体可有效降低发病、重症和死亡的风险,对于群体可逐步建立免疫屏障，阻断新冠肺炎的流行。按照国家关于新冠疫苗接种工作部署，我省在完成前期重点人群接种工作的基础上，近期将面向省内18岁以上人群启动下一阶段新冠疫苗免费接种。本轮新冠疫苗接种通过“吉事办”APP、微信小程序进行网络预约，目前开放个人预建档功能，有接种意愿的群众可以点击“吉事办”首页上的新冠疫苗预约模块，预先录入接种所需的个人相关信息。待近期疫苗到货并分发至接种单位后，开放预约接种功能，群众可以就近选择新冠疫苗接种单位和接种时间进行预约接种。相关服务开通后，我们将第一时间通过“吉事办”和省内主要媒体发出通知，请广大群众留意后续通知并耐心等待。温馨提示1.个人无需支付新冠疫苗接种相关费用。2.接种对象在接种前须详细了解疫苗作用、禁忌症等相关事项，并签署知情同意书后才能进行接种。3.个人预建档功能至关重要，将节省现场个人信息登记录入时间，提高疫苗接种工作效率，请广大群众积极配合，我们将确保您的个人信息安全。",3500496847,吉林省卫生健康委,m,2021/04/22,14:32:52,1,1,1, , , , , , 
https://m.weibo.cn/detail/4628790262893635,#CD新闻# #印度单日新增确诊超30万#【超31万例！印度创全球单日新增病例数新高】据路透社22日报道，印度在过去24小时内新增新冠肺炎确诊病例达到314835例，创下全球单日新增病例的新高。此外，印度单日新增死亡病例也创下了该国纪录，为2104例。对于这一数据，印度艾哈迈德医学协会（AHMEDABAD MEDICAL ASSOCIATION）主席基里特·加德维博士（DR KIRIT GADHVI）表示，目前疫情形势非常严峻，医院病床数量不足，患者正在为获得床位而苦苦挣扎，重症监护室的氧疗床和病床尤为短缺。美国南卡罗来纳医科大学传染病系助理教授鲁蒂卡·库帕利（KRUTIKA KUPPALLI）指出：“新冠肺炎已经成为印度经历的一场公共卫生危机，导致医疗体系面临崩溃。”超31万例！印度创全球单日新增病例数新高,2127460165,中国日报网,m,2021/04/22,14:31:00,1,4,4, , , , , , 
https://m.weibo.cn/detail/4628805048336647,印度新冠疫情失控，第二波疫情更恐怖。印度是全球新冠疫苗主要生产供应者之一。有威胁全球复苏的可能性，但不应该是基准情形。 ,2075811071,洪灝,m,2021/04/22,15:29:44,12,17,37, , , , , , 
https://m.weibo.cn/detail/4628805035230177,#防控前线# 总有些瞬间让我们难忘，第三批进驻集中隔离观察点的“战士们”顺利完成了医疗保障任务，28天，是一声声坚守的承诺，28天，是一个个前行的脚印，  战“疫”换防，坚守持续！战“疫”换防，坚守继续！ ,2083146281,信我-健康长宁,m,2021/04/22,15:29:41,0,0,0, , , , , , 
https://m.weibo.cn/detail/4628804872175631,#印度单日新增确诊病例超30万#【印度医院氧气瓶泄漏已致22人死亡】庆幸自己是名中国人 每日热门短视频的微博视频 ,6185411467,每日热门短视频,m,2021/04/22,15:29:02,0,0,0, , , , , , 
https://m.weibo.cn/detail/4628804872440215,#印度单日新增确诊病例超30万#印度各地火葬场超负荷运转不知道恒河水还能不能浇灭这疫情的“大火”…… 国民不得不看的微博视频 ,6041830326,国民不得不看,m,2021/04/22,15:29:03,0,0,2, , , , , , 
https://m.weibo.cn/detail/4628804863268557,#防控前线# 新冠病毒疫苗接种工作开展之初，新华街道社区卫生服务中心组建了一支“疫苗接种小分队”，投入区新冠病毒疫苗临时接种点工作。【身边人身边事】“所有的辛苦都是值得的” ,2083146281,信我-健康长宁,m,2021/04/22,15:29:01,0,0,0, , , , , , 
https://m.weibo.cn/detail/4628804732981332,【2021年4月21日河北省新型冠状病毒肺炎疫情情况】2021年4月21日0—24时，河北省无新增新型冠状病毒肺炎确诊病例，无新增无症状感染者。　　截至4月21日24时，河北省现有确诊病例0例；尚在医学观察无症状感染者0例。　　　　　　　　　　　　　　　　　　河北省卫生健康委员会　　　　　　　　　　　　　　　　　　　　 2021年4月22日,2153640151,河北疾病预防控制中心,f,2021/04/22,15:28:30,0,0,0, , , , , , 
https://m.weibo.cn/detail/4628804486042232,#印度单日新增确诊病例超30万##印度疫情#这是一条有味道的视频！印度村民互扔牛粪祈求健康，牛粪要是真有用的话，吃药干什么？？看见这人员密集度，我就害怕，大王炸还是爆发了 第二镜头的微博视频 ,6042105223,第二镜头,m,2021/04/22,15:27:31,0,0,0, , , , , , 
https://m.weibo.cn/detail/4628803399189102,#印度单日新增确诊病例超30万##印度疫情# 印度疫情濒临失控，火葬场焚化炉都快烧坏！莫迪：这太突然了...... 第二镜头的微博视频 ,6042105223,第二镜头,m,2021/04/22,15:23:11,0,1,0, , , , , , 
https://m.weibo.cn/detail/4628803143598906,【丹东-通化#公益慢火车成移动集市#】 @沈阳铁路 吉林通化至辽宁丹东4318次列车，是通灌线上唯一的一趟旅客列车，更是沿线百姓联通大山与外面世界的主要交通工具。这些天，列车上办起了“大集”，沿线的村民在车厢里摆起了摊，售卖自家晒的山蘑菇、山楂皮、蕨菜、自酿蜂蜜等山货。这让列车上的旅客也开了眼界。不到3个小时，乡亲们的摊位上陆续变得空了起来，钱袋子却鼓了起来。央视网的微博视频,2081296667,新浪辽宁,f,2021/04/22,15:22:11,1,0,1, , , , , , 
https://m.weibo.cn/detail/4628800761498816,#全国新冠病毒疫苗接种情况# 【新冠病毒疫苗接种情况】截至2021年4月21日，31个省（自治区、直辖市）和新疆生产建设兵团累计报告接种新冠病毒疫苗20419.1万剂次。 ,2834480301,健康中国,m,2021/04/22,15:12:43,3,1,1, , , , , , 
https://m.weibo.cn/detail/4628796835891154,钟南山每次只有45分钟锻炼身体，每周4次，他的妻子是教练。小华弟的微博视频 ,6405349088,扶不起,m,2021/04/22,14:57:07,0,0,0, , , , , , 
https://m.weibo.cn/detail/4628794742669946,【#印度日增新冠确诊近30万例# 中国使馆：在印中国公民“非必要不出行”】据印度卫生部通报，截至当地时间4月21日8时，印度24小时内新增新冠肺炎确诊病例295041例，当天还有约2000人病亡，两项数字都是该国疫情暴发以来的最高值。印度新冠疫情在近几周严重失控，医疗体系处于崩溃边缘，全国的医院都面临物资短缺问题。最近7天，印度单日新增确诊病例均保持在20万以上。21日，更是逼近30万例。专家表示，这种快速增长表明，第二波疫情在印度全国传播得更快。 中新视频的微博视频,1958889463,沈阳铁路,m,2021/04/22,14:48:48,7,5,4, , , , , , 
https://m.weibo.cn/detail/4628794092556479,FDA 停工整改了一家生产强生新冠疫苗原料的工厂，理由是质控不过关。（图 1）不过根据强生的公告，强生还没有正式和这家工厂签约授权，在前期质控流程中已经识别出一批不符合标准的原料药，没有进入制造填充的精加工阶段。（图 2） ,1735747402,丁香园,m,2021/04/22,14:46:13,1,0,11, , , , , , 
https://m.weibo.cn/detail/4628792267771952,#参考快讯#【外媒：#印度创全球单日新增新冠病例纪录#】#印度单日新增新冠病例超31万# 据路透社消息，根据印度卫生部当地时间22日发布的数据，过去24小时，印度报告新增新冠肺炎确诊病例314835例。这是印度单日新增确诊病例数首次超30万例，同时刷新了目前全球单日新增新冠病例最高纪录。        专家表示，新冠病毒的变异，特别是一种起源于印度的“双突变”变异，是病例激增的主要原因。        据报道，印度北部和西部的医院，包括首都新德里，已经发布警告称他们的医用氧气只够维持数个小时。（闪峥 实习生刘君羽）,2375086267,参考消息,m,2021/04/22,14:38:58,15,19,31, , , , , , 
https://m.weibo.cn/detail/4628791194813625,北京市新冠病毒疫苗接种情况截至2021年4月21日，北京市累计报告接种新冠病毒疫苗2166.94万剂次，累计接种1327.84万人。（来源：健康北京） ,2417852083,首都健康,m,2021/04/22,14:34:42,1,2,7, , , , , , 
https://m.weibo.cn/detail/4628790733702918,"新冠疫苗接种预约—如何通过“吉事办”进行个人预建档当前我国新冠肺炎疫情形势总体平稳，但全球疫情仍处于大流行阶段，外防输入、内防反弹压力仍很大。接种新冠疫苗是预防控制新冠肺炎疫情的有效手段，对于个体可有效降低发病、重症和死亡的风险,对于群体可逐步建立免疫屏障，阻断新冠肺炎的流行。按照国家关于新冠疫苗接种工作部署，我省在完成前期重点人群接种工作的基础上，近期将面向省内18岁以上人群启动下一阶段新冠疫苗免费接种。本轮新冠疫苗接种通过“吉事办”APP、微信小程序进行网络预约，目前开放个人预建档功能，有接种意愿的群众可以点击“吉事办”首页上的新冠疫苗预约模块，预先录入接种所需的个人相关信息。待近期疫苗到货并分发至接种单位后，开放预约接种功能，群众可以就近选择新冠疫苗接种单位和接种时间进行预约接种。相关服务开通后，我们将第一时间通过“吉事办”和省内主要媒体发出通知，请广大群众留意后续通知并耐心等待。温馨提示1.个人无需支付新冠疫苗接种相关费用。2.接种对象在接种前须详细了解疫苗作用、禁忌症等相关事项，并签署知情同意书后才能进行接种。3.个人预建档功能至关重要，将节省现场个人信息登记录入时间，提高疫苗接种工作效率，请广大群众积极配合，我们将确保您的个人信息安全。",3500496847,吉林省卫生健康委,m,2021/04/22,14:32:52,1,1,1, , , , , , 
https://m.weibo.cn/detail/4628807127926279,【新冠病毒疫苗接种情况】截至2021年4月21日，31个省（自治区、直辖市）和新疆生产建设兵团累计报告接种新冠病毒疫苗20419.1万剂次。@健康中国 ,5000609535,中国政府网,m,2021/04/22,15:38:01,1,0,0, , , , , , 
https://m.weibo.cn/detail/4628805769494635,【#巴黎迪士尼将设新冠疫苗周末接种点#】法国塞纳-马恩省21日宣布，为加速新冠疫苗接种，将在巴黎迪士尼乐园设立一处大型新冠疫苗周末接种点，接种点自本周末开放。　　巴黎迪士尼乐园堪称欧洲最大的文化娱乐度假中心，去年10月因法国第二波新冠疫情再度闭门谢客，原计划本月2日重开，但因疫情恶化不得不推迟。　　据法新社报道，接种点设在邻近酒店综合体的纽波特湾俱乐部，那里原本是会展中心。依照塞纳-马恩省说法，这处设施将由当地政府和地方医疗服务部门负责运营，仅在周末开门，力争每天接种1000人次以上。　　法国其他疫苗接种点通常周日不开门。　　巴黎迪士尼乐园负责运营的副总裁埃里克·马里昂在声明中说，巴黎迪士尼乐园为能支援政府疫苗接种工作“感到骄傲”。　　法国政府计划到5月中旬让2000万人至少接种一剂新冠疫苗。依照法国卫生部数据，截至本月20日，法国已有近1280万人接种了至少一剂新冠疫苗，占全国总人口的约19%。,2810373291,新华网,m,2021/04/22,15:32:37,4,0,5, , , , , , 
https://m.weibo.cn/detail/4628740762505314,#拜登宣布接种2亿剂新冠疫苗任务完成##v光计划#截至2021年4月20日，全国各省区市累计报告接种新冠病毒疫苗19896.5万剂次。每日疫苗接种数据详见附表。#拜登称2亿剂新冠疫苗接种目标已达成# ,7342587352,Super无闷,f,2021/04/22,11:14:18,0,9,6, , , , , , 
https://m.weibo.cn/detail/4628805320968570,"【今天起，#台湾同胞可在深圳接种新冠疫苗#了！】根据广东省防控指挥部新冠病毒疫苗接种工作部署，按照属地管理、同等待遇原则,深圳市启动在深台湾同胞接种新冠病毒疫苗工作。自2021年4月22日起，在深圳的台湾同胞可通过“健康深圳”微信公众号进行预约接种。在深居住的年龄18周岁至59周岁，以及部分60周岁以上因特殊原因需接种、且身体基础状况较好的台湾同胞可自愿接种。在深台湾同胞接种疫苗，在适用人群费用承担与深圳市居民执行一致要求和标准。#台湾同胞今起可在深圳接种新冠疫苗#（深圳特区报，TY）",1649173367,每日经济新闻,m,2021/04/22,15:30:50,2,1,8, , , , , , 
https://m.weibo.cn/detail/4628805048336647,印度新冠疫情失控，第二波疫情更恐怖。印度是全球新冠疫苗主要生产供应者之一。有威胁全球复苏的可能性，但不应该是基准情形。 ,2075811071,洪灝,m,2021/04/22,15:29:44,12,17,37, , , , , , 
https://m.weibo.cn/detail/4628804863268557,#防控前线# 新冠病毒疫苗接种工作开展之初，新华街道社区卫生服务中心组建了一支“疫苗接种小分队”，投入区新冠病毒疫苗临时接种点工作。【身边人身边事】“所有的辛苦都是值得的” ,2083146281,信我-健康长宁,m,2021/04/22,15:29:01,0,0,0, , , , , , 
https://m.weibo.cn/detail/4628804732981332,【2021年4月21日河北省新型冠状病毒肺炎疫情情况】2021年4月21日0—24时，河北省无新增新型冠状病毒肺炎确诊病例，无新增无症状感染者。　　截至4月21日24时，河北省现有确诊病例0例；尚在医学观察无症状感染者0例。　　　　　　　　　　　　　　　　　　河北省卫生健康委员会　　　　　　　　　　　　　　　　　　　　 2021年4月22日,2153640151,河北疾病预防控制中心,f,2021/04/22,15:28:30,0,0,0, , , , , , 
https://m.weibo.cn/detail/4628433114239789,#智利两兽医为75人接种犬用冠状病毒疫苗#【昏庸！#智利两兽医涉嫌为至少75人接种犬用疫苗#】智利卫生部门官员20日说，两名兽医涉嫌为至少75人接种犬用冠状病毒疫苗，目前正接受调查。　　据法新社报道，事情发生在去年，之所以现在才曝光，是因为卫生部门官员本周报告称这两名兽医没有缴纳罚款。　　去年9月，智利卫生部官员视察北部城市卡拉马一家兽医诊所时发现工作人员未按新冠疫情防控规定戴口罩，工作人员则称“已接种冠状病毒疫苗”。　　第一批新冠疫苗去年12月才运抵智利。　　据调查，一名兽医为这家诊所工作人员接种疫苗，不过接种的是犬用疫苗；不光此人，另一名兽医也曾这样做。　　犬类冠状病毒与新冠病毒不是一回事。　　除兽医诊所工作人员，还有一些矿工和医护人员被接种犬用疫苗，至少75人。　　法新社报道没有提及接种犬用疫苗者是否出现不良反应以及这些疫苗的来源。　　卡拉马所在地区卫生部门官员罗萨娜·迪娅斯说，给人接种犬用疫苗“非常危险”。（图片为资料图）,2810373291,新华网,m,2021/04/21,14:51:49,13,18,46, , , , , , 
https://m.weibo.cn/detail/4628804486042232,#印度单日新增确诊病例超30万##印度疫情#这是一条有味道的视频！印度村民互扔牛粪祈求健康，牛粪要是真有用的话，吃药干什么？？看见这人员密集度，我就害怕，大王炸还是爆发了 第二镜头的微博视频 ,6042105223,第二镜头,m,2021/04/22,15:27:31,0,0,0, , , , , , 
https://m.weibo.cn/detail/4628803399189102,#印度单日新增确诊病例超30万##印度疫情# 印度疫情濒临失控，火葬场焚化炉都快烧坏！莫迪：这太突然了...... 第二镜头的微博视频 ,6042105223,第二镜头,m,2021/04/22,15:23:11,0,1,0, , , , , , 
https://m.weibo.cn/detail/4628796835891154,钟南山每次只有45分钟锻炼身体，每周4次，他的妻子是教练。小华弟的微博视频 ,6405349088,扶不起,m,2021/04/22,14:57:07,0,0,0, , , , , , 
https://m.weibo.cn/detail/4628794742669946,【#印度日增新冠确诊近30万例# 中国使馆：在印中国公民“非必要不出行”】据印度卫生部通报，截至当地时间4月21日8时，印度24小时内新增新冠肺炎确诊病例295041例，当天还有约2000人病亡，两项数字都是该国疫情暴发以来的最高值。印度新冠疫情在近几周严重失控，医疗体系处于崩溃边缘，全国的医院都面临物资短缺问题。最近7天，印度单日新增确诊病例均保持在20万以上。21日，更是逼近30万例。专家表示，这种快速增长表明，第二波疫情在印度全国传播得更快。 中新视频的微博视频,1958889463,沈阳铁路,m,2021/04/22,14:48:48,7,5,4, , , , , , 
https://m.weibo.cn/detail/4628794092556479,FDA 停工整改了一家生产强生新冠疫苗原料的工厂，理由是质控不过关。（图 1）不过根据强生的公告，强生还没有正式和这家工厂签约授权，在前期质控流程中已经识别出一批不符合标准的原料药，没有进入制造填充的精加工阶段。（图 2） ,1735747402,丁香园,m,2021/04/22,14:46:13,1,0,11, , , , , , 
https://m.weibo.cn/detail/4628791194813625,北京市新冠病毒疫苗接种情况截至2021年4月21日，北京市累计报告接种新冠病毒疫苗2166.94万剂次，累计接种1327.84万人。（来源：健康北京） ,2417852083,首都健康,m,2021/04/22,14:34:42,1,2,7, , , , , , 
https://m.weibo.cn/detail/4628790733702918,"新冠疫苗接种预约—如何通过“吉事办”进行个人预建档当前我国新冠肺炎疫情形势总体平稳，但全球疫情仍处于大流行阶段，外防输入、内防反弹压力仍很大。接种新冠疫苗是预防控制新冠肺炎疫情的有效手段，对于个体可有效降低发病、重症和死亡的风险,对于群体可逐步建立免疫屏障，阻断新冠肺炎的流行。按照国家关于新冠疫苗接种工作部署，我省在完成前期重点人群接种工作的基础上，近期将面向省内18岁以上人群启动下一阶段新冠疫苗免费接种。本轮新冠疫苗接种通过“吉事办”APP、微信小程序进行网络预约，目前开放个人预建档功能，有接种意愿的群众可以点击“吉事办”首页上的新冠疫苗预约模块，预先录入接种所需的个人相关信息。待近期疫苗到货并分发至接种单位后，开放预约接种功能，群众可以就近选择新冠疫苗接种单位和接种时间进行预约接种。相关服务开通后，我们将第一时间通过“吉事办”和省内主要媒体发出通知，请广大群众留意后续通知并耐心等待。温馨提示1.个人无需支付新冠疫苗接种相关费用。2.接种对象在接种前须详细了解疫苗作用、禁忌症等相关事项，并签署知情同意书后才能进行接种。3.个人预建档功能至关重要，将节省现场个人信息登记录入时间，提高疫苗接种工作效率，请广大群众积极配合，我们将确保您的个人信息安全。",3500496847,吉林省卫生健康委,m,2021/04/22,14:32:52,1,1,1, , , , , , 
https://m.weibo.cn/detail/4628790262893635,#CD新闻# #印度单日新增确诊超30万#【超31万例！印度创全球单日新增病例数新高】据路透社22日报道，印度在过去24小时内新增新冠肺炎确诊病例达到314835例，创下全球单日新增病例的新高。此外，印度单日新增死亡病例也创下了该国纪录，为2104例。对于这一数据，印度艾哈迈德医学协会（AHMEDABAD MEDICAL ASSOCIATION）主席基里特·加德维博士（DR KIRIT GADHVI）表示，目前疫情形势非常严峻，医院病床数量不足，患者正在为获得床位而苦苦挣扎，重症监护室的氧疗床和病床尤为短缺。美国南卡罗来纳医科大学传染病系助理教授鲁蒂卡·库帕利（KRUTIKA KUPPALLI）指出：“新冠肺炎已经成为印度经历的一场公共卫生危机，导致医疗体系面临崩溃。”超31万例！印度创全球单日新增病例数新高,2127460165,中国日报网,m,2021/04/22,14:31:00,1,4,4, , , , , , 
